strategy,planned_purchase_kwh,planned_cost_yuan,emergency_purchase_kwh,emergency_cost_yuan,total_cost_yuan,spill_kwh,emergency_days,emergency_intervals,avg_normal_price_of_emergency,saving_vs_no_storage_yuan,saving_vs_no_storage_pct
no_storage_same_forecast,20970110.94360152,16385074.49795534,636263.3903728187,2554965.66168096,18940040.159636304,3667184.83900767,333,19566,0.8031157223060963,0.0,0.0
optimized_proposed,22331422.661849506,13621600.318770245,254061.43759911676,966322.9557636606,14587923.274533905,3310985.126667124,328,8416,0.7607002187308887,4352116.885102399,22.978393120714323
