date,strategy,scheduled_grid_kwh,emergency_purchase_kwh,total_grid_purchase_kwh,base_plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_grid_cost_yuan,curtailed_pv_kwh,overpurchase_spill_kwh,pv_consumption_rate,charge_input_kwh,discharge_output_kwh,soc_initial_kwh,soc_terminal_kwh,soc_min_kwh,soc_max_kwh,pv_forecast_mae_kw,load_forecast_mae_kw
2025-12-21,static_forecast,93732.7256,2015.5833333333321,95748.30893333333,60142.26784918306,0.0,7226.5200275569405,67368.78787674,1055.785750000001,993.4079833333328,0.9701237744473445,24533.333333333336,19872.0,1200.0,1200.0,1200.0,10800.0,60.84399791666672,148.0094243055556
2025-12-21,rolling,93690.924575,2207.416005555556,95898.34058055555,60142.26784918306,925.7181518812489,7471.563202456943,68539.54920352125,1205.817397222224,993.4079833333328,0.9658782356792303,24533.333333333336,19872.0,1200.0,1200.0,1200.0,10800.0,66.93332164351847,148.0094243055556
2025-12-21,oracle_actual,93707.01511666665,0.0,93707.01511666665,60044.299631671674,0.0,0.0,60044.299631671674,7.899916666666627,0.0,0.9997764511481799,24533.333333333336,19872.0,1200.0,1200.0,1200.0,10800.0,0.0,0.0
