date,load_mae_kw,load_rmse_kw,pv_mae_kw,pv_rmse_kw,actual_pv_daily_sum_kw,load_rmse_percentile,pv_rmse_percentile,combined_error_percentile,pv_daily_sum_q25_kw,eligible_pv_day,distance_to_median_score,selected_representative_day
2025-02-01,177.34507653463723,213.72018984039565,58.67428527777414,119.56510659528465,251562.18209999998,0.7694610778443114,0.03592814371257485,0.4026946107784431,296851.2006,False,,False
2025-02-02,112.31682790758929,138.28003328899658,71.08412785984297,138.14702963119865,260098.16820000001,0.2994011976047904,0.07784431137724551,0.18862275449101795,296851.2006,False,,False
2025-02-03,106.11821460418881,133.7248348116854,79.60324798035342,157.88625220559462,254321.115,0.2215568862275449,0.1407185628742515,0.18113772455089822,296851.2006,False,,False
2025-02-04,126.71499762898276,158.87216805815436,113.05451340424617,223.55101398887246,242299.4094,0.4491017964071856,0.3592814371257485,0.4041916167664671,296851.2006,False,,False
2025-02-05,105.92065090130717,136.73072987125806,87.09971830983159,178.31139917655506,247455.9447,0.2694610778443114,0.20359281437125748,0.23652694610778444,296851.2006,False,,False
2025-02-06,118.00761478760634,142.60371434056927,62.24571642323743,120.59463082480634,251886.63290000003,0.3473053892215569,0.041916167664670656,0.19461077844311378,296851.2006,False,,False
2025-02-07,120.32521857396283,149.43170720762825,169.8956690108913,338.2530880611941,266177.5036,0.38622754491017963,0.7514970059880239,0.5688622754491017,296851.2006,False,,False
2025-02-08,124.72219152794378,158.48651421615713,112.59905817789428,225.67481144466407,265017.74880000006,0.4431137724550898,0.37425149700598803,0.4086826347305389,296851.2006,False,,False
2025-02-09,138.01330258568962,168.03187192332342,131.05236669407435,256.28054837168776,251954.9256,0.5059880239520959,0.5209580838323353,0.5134730538922156,296851.2006,False,,False
2025-02-10,111.28275432001692,138.84186551419208,167.52062822577136,318.212686648656,282905.5616,0.3023952095808383,0.6976047904191617,0.5,296851.2006,False,,False
2025-02-11,114.54701417236846,140.35665879146205,68.9891055280662,138.72102936610372,277324.1069,0.3143712574850299,0.08383233532934131,0.19910179640718562,296851.2006,False,,False
2025-02-12,113.14901928623895,135.61238285603542,75.20466397357166,150.04165917959924,276582.7005,0.24850299401197604,0.10778443113772455,0.1781437125748503,296851.2006,False,,False
2025-02-13,111.73994741756272,137.53851850913833,151.37898310178642,275.25317156400496,299884.8282,0.2844311377245509,0.5988023952095808,0.4416167664670658,296851.2006,True,0.058383233532934176,False
2025-02-14,123.18191269858214,150.6948510677347,120.23736969922126,279.48883022670856,276425.0168,0.39520958083832336,0.6107784431137725,0.5029940119760479,296851.2006,False,,False
2025-02-15,134.61049679904608,162.97788456485577,81.09244614878503,157.24413076710536,280646.76690000005,0.4820359281437126,0.1317365269461078,0.3068862275449102,296851.2006,False,,False
2025-02-16,123.82709389676211,148.736491875564,112.0461424297909,235.05954310816102,275397.5891,0.38023952095808383,0.41916167664670656,0.39970059880239517,296851.2006,False,,False
2025-02-17,98.52409488390835,121.02119633817428,138.85333973787877,246.23405035162392,298659.0579,0.059880239520958084,0.4820359281437126,0.27095808383233533,296851.2006,True,0.22904191616766467,False
2025-02-18,107.23224598241609,134.73037553363693,82.220889865865,174.87991746890083,295439.3007,0.23652694610778444,0.19161676646706588,0.21407185628742514,296851.2006,False,,False
2025-02-19,111.05751325631147,140.74049640487002,105.85710125142054,206.95644620280225,293924.80039999995,0.32335329341317365,0.2904191616766467,0.3068862275449102,296851.2006,False,,False
2025-02-20,106.2331439724329,132.6554542243651,93.50265927919382,177.51325033229983,300672.7398,0.20359281437125748,0.20059880239520958,0.20209580838323354,296851.2006,True,0.29790419161676646,False
2025-02-21,122.20352627724348,149.8852604789855,52.95709297605368,94.12735724449841,301450.44,0.38922155688622756,0.005988023952095809,0.19760479041916168,296851.2006,True,0.3023952095808383,False
2025-02-22,107.55191919156222,133.73880032342197,105.76836389493938,194.30827439266898,287024.8763,0.2245508982035928,0.26047904191616766,0.24251497005988024,296851.2006,False,,False
2025-02-23,104.86263476955878,129.691186855965,101.30594412449166,196.84161475388362,297661.72349999996,0.16167664670658682,0.26646706586826346,0.21407185628742514,296851.2006,True,0.28592814371257486,False
2025-02-24,120.3800420424703,144.8669322295799,134.38006532231066,248.31237921382754,314555.72959999996,0.36227544910179643,0.49700598802395207,0.4296407185628742,296851.2006,True,0.07035928143712578,False
2025-02-25,111.52692742387765,143.03704318975207,201.05155372738625,363.7577556932202,331632.0579,0.3532934131736527,0.8053892215568862,0.5793413173652695,296851.2006,True,0.0793413173652695,False
2025-02-26,112.84812572756499,140.8746327916895,105.37972877002935,181.833251526661,313475.31649999996,0.32934131736526945,0.2125748502994012,0.27095808383233533,296851.2006,True,0.22904191616766467,False
2025-02-27,108.04770091302922,131.7857591783232,119.02230781270843,232.6310761315352,321857.42840000003,0.18862275449101795,0.40718562874251496,0.29790419161676646,296851.2006,True,0.20209580838323354,False
2025-02-28,108.56294869768249,134.54874263314147,115.41914619733535,251.49408729407068,312555.08640000003,0.23353293413173654,0.5059880239520959,0.3697604790419162,296851.2006,True,0.13023952095808378,False
2025-03-01,159.22207307269463,205.2576957396513,191.37911456464815,400.85689054028086,291512.36529999995,0.7425149700598802,0.8652694610778443,0.8038922155688623,296851.2006,False,,False
2025-03-02,137.54978813405262,174.22921301949265,262.8906484155889,538.1106388205989,273012.6601,0.5538922155688623,0.9730538922155688,0.7634730538922155,296851.2006,False,,False
2025-03-03,148.80909791188608,180.85650636301946,130.50267966099676,255.11547456193375,275649.59380000003,0.592814371257485,0.5119760479041916,0.5523952095808383,296851.2006,False,,False
2025-03-04,123.90667337171281,150.79750457259783,116.0356265555684,220.37019621465018,293637.40229999996,0.39820359281437123,0.3532934131736527,0.37574850299401197,296851.2006,False,,False
2025-03-05,115.04486165779359,139.39876942089577,208.4371569567372,365.67290063585864,311657.8309,0.30538922155688625,0.8083832335329342,0.5568862275449102,296851.2006,True,0.05688622754491024,False
2025-03-06,131.52399944893142,160.12907544116342,123.8662379750071,213.68991484253854,310397.66650000005,0.46107784431137727,0.32335329341317365,0.3922155688622755,296851.2006,True,0.10778443113772451,False
2025-03-07,131.2778882573895,161.88691136790283,91.88553701381478,189.28602927290473,304548.4555,0.47305389221556887,0.24251497005988024,0.35778443113772457,296851.2006,True,0.14221556886227543,False
2025-03-08,102.02910845052054,126.6453880753657,103.12557425903441,183.3098481176185,319689.43240000005,0.11077844311377245,0.218562874251497,0.16467065868263472,296851.2006,True,0.33532934131736525,False
2025-03-09,118.81680518111008,148.18727761736608,134.65771736617478,284.6512574047572,326156.7687,0.3712574850299401,0.625748502994012,0.49850299401197606,296851.2006,True,0.0014970059880239361,True
2025-03-10,131.2056398976549,159.5235342028985,176.8406325248056,381.55382716465994,299405.9575,0.45808383233532934,0.8413173652694611,0.6497005988023952,296851.2006,True,0.14970059880239517,False
2025-03-11,108.00667330432748,131.22432785106233,124.93537402575379,237.26265020349103,321363.8049,0.18562874251497005,0.4431137724550898,0.3143712574850299,296851.2006,True,0.18562874251497008,False
2025-03-12,112.59431302587026,137.40139770558608,125.2617115315132,225.2577835062679,334060.2129,0.27844311377245506,0.3712574850299401,0.3248502994011976,296851.2006,True,0.17514970059880242,False
2025-03-13,126.96597816075317,154.55190451380184,219.269106750762,425.9317617425326,304149.9542,0.4251497005988024,0.9011976047904192,0.6631736526946108,296851.2006,True,0.16317365269461082,False
2025-03-14,110.88633139164375,136.1016275380547,155.32196647033828,310.3039101589054,336476.65780000004,0.2634730538922156,0.6826347305389222,0.4730538922155689,296851.2006,True,0.026946107784431073,False
2025-03-15,103.75595763029962,135.1067065612789,183.53795784636603,366.1887385736193,310805.1398,0.24251497005988024,0.811377245508982,0.5269461077844312,296851.2006,True,0.026946107784431184,False
2025-03-16,104.75660995695318,130.05734164304928,145.00450076921868,293.45220577451744,327793.01430000004,0.16766467065868262,0.6497005988023952,0.4086826347305389,296851.2006,True,0.0913173652694611,False
2025-03-17,109.64985051711584,138.0458955035402,243.84095381074246,421.94810437710356,359012.94220000005,0.2904191616766467,0.8922155688622755,0.5913173652694611,296851.2006,True,0.0913173652694611,False
2025-03-18,99.49769898999608,127.82708625608144,115.63691396924904,236.91744504939962,336764.79130000004,0.1347305389221557,0.437125748502994,0.28592814371257486,296851.2006,True,0.21407185628742514,False
2025-03-19,106.15605461138132,130.31056416933998,119.40725986632378,230.12324196702485,346896.5253,0.17365269461077845,0.39520958083832336,0.2844311377245509,296851.2006,True,0.21556886227544908,False
2025-03-20,105.10203483973966,129.1853400634926,115.28172046989506,221.2273562696574,332636.51950000005,0.15269461077844312,0.3562874251497006,0.25449101796407186,296851.2006,True,0.24550898203592814,False
2025-03-21,97.20729839455817,120.58184819907248,175.74857559692015,307.72446874198926,363360.4062,0.05688622754491018,0.6796407185628742,0.3682634730538922,296851.2006,True,0.13173652694610782,False
2025-03-22,110.31723468232522,132.33841327833602,127.10692308801796,240.7407427004197,336334.37879999995,0.19760479041916168,0.4550898203592814,0.3263473053892215,296851.2006,True,0.17365269461077848,False
2025-03-23,102.17131066830792,125.54531013852512,169.95392390275833,310.5339723234957,353821.5429,0.09580838323353294,0.6856287425149701,0.3907185628742515,296851.2006,True,0.1092814371257485,False
2025-03-24,120.03633505989461,144.90976751190283,114.03125571205618,214.68105890086278,356560.0412,0.3652694610778443,0.3383233532934132,0.35179640718562877,296851.2006,True,0.14820359281437123,False
2025-03-25,110.55237674337867,137.2984166318113,127.5429593674884,257.52830222196735,342618.25860000006,0.27245508982035926,0.5299401197604791,0.40119760479041916,296851.2006,True,0.09880239520958084,False
2025-03-26,96.18140050445415,121.46664090291756,184.51343876536941,360.36372446584846,372672.43759999995,0.0658682634730539,0.8023952095808383,0.4341317365269461,296851.2006,True,0.06586826347305391,False
2025-03-27,112.29942273943087,139.6446236980047,108.7644109914691,196.93129519017546,355413.6538,0.31137724550898205,0.2694610778443114,0.2904191616766467,296851.2006,True,0.20958083832335328,False
2025-03-28,127.45071654303564,160.70231534634559,86.58393252467157,157.36818200849385,366419.319,0.46706586826347307,0.1377245508982036,0.3023952095808383,296851.2006,True,0.19760479041916168,False
2025-03-29,101.99043454276391,125.7552466959203,175.29869584007494,299.35995884119933,386466.40969999996,0.10179640718562874,0.6676646706586826,0.3847305389221557,296851.2006,True,0.1152694610778443,False
2025-03-30,140.59191676815217,165.4985507103302,106.78515863793308,198.309678647185,375894.5169,0.49700598802395207,0.27245508982035926,0.3847305389221557,296851.2006,True,0.1152694610778443,False
2025-03-31,110.99366064952557,137.30042786639288,210.1816040056594,391.2273528502173,360745.6568,0.2754491017964072,0.8532934131736527,0.5643712574850299,296851.2006,True,0.06437125748502992,False
2025-04-01,117.2132891473978,142.73575032441664,245.84276360156557,521.0589084386876,346549.7687,0.3502994011976048,0.9700598802395209,0.6601796407185628,296851.2006,True,0.16017964071856283,False
2025-04-02,110.2094994651523,135.6425202715656,256.407037551808,428.1620085519069,345307.7643,0.25149700598802394,0.907185628742515,0.5793413173652695,296851.2006,True,0.0793413173652695,False
2025-04-03,100.72905874447453,133.53973085361494,185.77418373926616,379.78283757327637,372125.555,0.2155688622754491,0.8323353293413174,0.5239520958083832,296851.2006,True,0.0239520958083832,False
2025-04-04,102.93500568028425,126.22406268361688,235.73050488642204,435.36205081817707,391829.6974,0.10479041916167664,0.9101796407185628,0.5074850299401197,296851.2006,True,0.007485029940119681,False
