strategy,planned_purchase_kwh,planned_cost_yuan,emergency_purchase_kwh,emergency_cost_yuan,total_cost_yuan,spill_kwh,emergency_days,emergency_intervals,avg_normal_price_of_emergency,saving_vs_no_storage_yuan,saving_vs_no_storage_pct
no_storage_same_forecast,20970110.943601515,16385074.497955339,636263.3903728207,2554965.6616809666,18940040.159636308,3667184.839007669,333,19566,0.8031157223060958,0.0,0.0
optimized_proposed,20803651.042254955,12864930.961356245,197133.31921189054,1145705.9032767669,14010636.864633013,1884406.6762750968,158,1408,1.1623665728930324,4929403.295003295,26.026361367007528
