strategy,planned_purchase_kwh,planned_cost_yuan,emergency_purchase_kwh,emergency_cost_yuan,total_cost_yuan,spill_kwh,emergency_days,emergency_intervals,rolling_lp_calls,avg_normal_price_of_emergency,shared_feb1_soc_kwh,feb1_initial_soc_kwh,same_initial_soc,max_emergency_charge_product,saving_vs_dynamic_greedy_yuan,saving_vs_dynamic_greedy_pct,rolling_horizon_slots
dynamic_greedy,21023195.635928772,13513784.369942714,189117.37000410905,1129366.9613430419,14643151.331285754,1994643.168842211,164,1361,0,1.1943556124099055,1812.7596250834226,1812.7596250834226,True,0.0,0.0,0.0,6
dynamic_rolling,21020784.104886647,13511601.265652819,190067.4042242063,1119172.617278203,14630773.882931024,1993314.917277167,163,1568,19984,1.1776586541456742,1812.7596250834226,1812.7596250834226,True,0.0,12377.448354730383,0.08452721736396594,6
